Thema,Beschrijving,Officiële vakkenlijst - koppeling
Nederlandse taal,"Taalkunde, exclusief literatuur, voor de Nederlandse taal","Nederlands,Nederlands voor nieuwkomers (vak voorbehouden aan OKAN),zakelijke communicatie"
Moderne talen,"Taalkunde, exclusief literatuur, voor alle moderne talen","Duits,Engels ,Frans,Italiaans,Russisch,Spaans"
Klassieke talen,"Taalkunde, exclusief literatuur, voor de klassieke talen","Grieks,Hebreeuws,Latijn,Oud-Hebreeuws"
Literatuur,"Alles over literatuur, in alle talen","Duits,Engels ,Frans,Grieks,Hebreeuws,Italiaans,Latijn,Nederlands,Nederlands voor nieuwkomers (vak voorbehouden aan OKAN),Oud-Hebreeuws,Russisch,algemene verbale vorming,Spaans"
Media en communicatie,"Alles over communicatie (verbaal, non-verbaal), communicatiemiddelen en de media","communicatiewetenschappen,cultuurwetenschappen,Nederlands,beeld- en mediacultuur,printmedia,public relations,publiciteitstekenen,onthaal,toegepaste psychologie,verkoop,zakelijke communicatie,Muzische vorming,Sociale vaardigheden,maatschappelijke vorming,veiligheidstechnieken"
Sport en spel,"Alles over lichaamsbeweging, (top)sport, spellen en spelen","bewegingswetenschappen,lichamelijke opvoeding,sport,topsport"
Gezondheid en gezondheidszorg,"Alle aspecten van de gezondheidszorg, lichamelijke gezondheid","bewegingswetenschappen,biologie,psychologie,optiek,indirecte zorg,verpleegkunde,verzorging,Mens en maatschappij,dierenzorg,veiligheidstechnieken"
Lichamelijke verzorging,"Persoonlijke hygiëne, haartooi, cosmetica, ...","schoonheidsverzorging,grime,haarverzorging,tandtechnieken,schoonmaak"
Voeding en horeca,Alles over voeding en alle aspecten van de horeca,"bakkerij,restauranttechnieken,slagerij,hotel,keukentechnieken,voeding,Mens en maatschappij"
Politiek en overheid,"Van politieke partijen en besluitvorming tot de werking van de overheid, wetgeving en burgerparticipatie. Zowel binnen- als buitenland","burgerschap,cultuurbeschouwing,Mens en maatschappij,maatschappelijke vorming,cultuurwetenschappen"
Recht,"Alles over rechtbanken, rechtspraak, criminaliteit, wetgeving, ...","bedrijfswetenschappen,burgerschap,cultuurbeschouwing,cultuurwetenschappen,sociologie,recht,toegepaste economie,Mens en maatschappij,maatschappelijke vorming,veiligheidstechnieken"
Participatie,Maatschappelijke participatie,"burgerschap,cultuurbeschouwing,Mens en maatschappij,maatschappelijke vorming,Sociale vaardigheden"
Relaties en seksualiteit,"Alles over persoonlijke relaties, inclusief familiebanden en vriendschap, en seksualiteit","sociologie,Mens en maatschappij,Sociale vaardigheden,maatschappelijke vorming"
Psychologie,Alles over psychologie en mentaal welzijn,"gedragswetenschappen,toegepaste psychologie,psychologie,Mens en maatschappij"
Opvoeding en ontwikkeling,Opvoeding van kinderen en ontwikkeling van de mens,"gedragswetenschappen,pedagogiek,opvoedkunde,toegepaste psychologie,psychologie,Mens en maatschappij"
Identiteit,"Het zelfbeeld van individuen en groepen. Gaande van persoonlijke, sociale, culturele tot nationale identiteitsvorming. Ook gender.","burgerschap,cultuurbeschouwing,gedragswetenschappen,godsdienst ,niet-confessionele zedenleer ,sociologie,Mens en maatschappij,maatschappelijke vorming,cultuurwetenschappen"
Armoede en welvaart,"Alles over armoede, kansarmoede, armoedebestrijding, ...","Mens en maatschappij,cultuurwetenschappen"
Normen en waarden,"Alles over de waarden (idealen en motieven) van een maatschappij en de normen (richtlijnen, gedragsregels) die moeten leiden tot die waarden, plus deviant gedrag","gedragswetenschappen,Mens en maatschappij,maatschappelijke vorming,burgerschap,cultuurwetenschappen,godsdienst ,interlevensbeschouwelijke dialoog,niet-confessionele zedenleer ,sociologie"
Rolpatronen en stereotypen,"Alles over de rollen die mensen opnemen in de maatschappij en de stereotypen die daar bij komen. Ook racisme, seksisme, discriminatie, ... ","sociologie,Mens en maatschappij,maatschappelijke vorming,cultuurwetenschappen,gedragswetenschappen"
Leren en onderzoeken,Hoe leren mensen en alles over onderzoekscompetenties en het onderwijs,"exploratie,Leren leren"
Religie en geloof,"Alles over religies, geloofsovertuigingen en godsdiensten","cultuurbeschouwing,eigen cultuur en religie,godsdienst ,interlevensbeschouwelijke dialoog,niet-confessionele zedenleer "
Filosofie,"Alles over filosofie, (rationele) levensbeschouwingen en ethische vraagstukken","cultuurbeschouwing,cultuurwetenschappen,filosofie,godsdienst ,interlevensbeschouwelijke dialoog,niet-confessionele zedenleer ,Mens en maatschappij,burgerschap"
Rampen en conflicten,"Denk aan oorlog, hongersnood, Arabische lente, treinramp Buizingen, Fukushima, ...","geschiedenis,Mens en maatschappij"
Economie,Micro- en macro-economie,"bedrijfswetenschappen,cultuurwetenschappen,economie ,logistiek,toegepaste economie,verkoop"
Bedrijfsbeheer,"Bedrijfseconomie, ondernemerschap, alle aspecten van bedrijfskunde","bedrijfswetenschappen,economie ,administratie,boekhouding,commerciële technieken,human resources,logistiek,onthaal,toegepaste economie"
Omgaan met geld,Persoonlijke financiële geletterdheid,"economie ,boekhouding,toegepaste economie,maatschappelijke vorming"
Beroepen,"Alles over de arbeidsmarkt, arbeidsomstandigheden, beroepen, vakbonden, solliciteren, arbeidswetgeving, ...",militaire vorming
Prehistorie,Alles over de prehistorie,"geschiedenis,Mens en maatschappij,maatschappelijke vorming"
Oudheid,Alles over de oudheid,"geschiedenis,Grieks,Hebreeuws,Latijn,Oud-Hebreeuws,Mens en maatschappij,maatschappelijke vorming"
Middeleeuwen,Alles over de middeleeuwen,"geschiedenis,Mens en maatschappij,maatschappelijke vorming"
Vroegmoderne tijd,Alles over de vroegmoderne tijd,"geschiedenis,Mens en maatschappij,maatschappelijke vorming"
Moderne tijd,Alles over de moderne tijd,"geschiedenis,Mens en maatschappij,maatschappelijke vorming"
Hedendaagse tijd,Alles over de hedendaagse tijd (na WO II - 10 jaar geleden),"geschiedenis,Mens en maatschappij,maatschappelijke vorming"
Erfgoed,"Materieel en immaterieel erfgoed (tradities, rituelen, ...), alles over hoe we vandaag naar het verleden kijken","geschiedenis,Mens en maatschappij,maatschappelijke vorming"
Verkeer en mobiliteit,"Organisatie van het verkeer, verkeersveiligheid, files, geschiedenis van de fiets","aardrijkskunde,Rijn- en binnenvaart,scheepvaart,wegenwerken,zeemanschap,Mens en maatschappij,nautische technieken"
Toerisme,Alles over toerisme,"aardrijkskunde,toerisme,Frans,Duits,Engels ,Grieks,Hebreeuws,Italiaans,Russisch,Spaans,Latijn,Oud-Hebreeuws,Mens en maatschappij"
Weer en klimaat,Alles over het weer en het klimaat,"aardrijkskunde,Mens en maatschappij"
Bevolking en ruimtelijke ordening,Demografie en ruimtelijke planning,"aardrijkskunde,Mens en maatschappij"
Landschap en reliëf,Fysische geografie,"aardrijkskunde,Rijn- en binnenvaart,Mens en maatschappij"
Het heelal,To space ... and beyond,"aardrijkskunde,Mens en maatschappij"
Milieu en ecologie,"Ecosystemen, biodiversiteit, habitat, milieuvervuiling, ...","aardrijkskunde,biologie,ecologie,tuinbouw,Wetenschappen en techniek,Mens en maatschappij"
Wiskunde,Wiskunde,"wiskunde,project STEM"
Chemie,Chemie (theorie/praktijk),"biochemie,chemie,natuurwetenschappen,apotheek,toegepaste biochemie,toegepaste chemie,toegepaste natuurwetenschappen,project STEM,Wetenschappen en techniek"
Biologie,Biologie (theorie/praktijk),"biochemie,biologie,natuurwetenschappen,optiek,dierenzorg,hoefverzorging,toegepaste biochemie,toegepaste biologie,toegepaste natuurwetenschappen,project STEM,Wetenschappen en techniek"
Fysica,Fysica (theorie/praktijk),"fysica,natuurwetenschappen,elektriciteit,elektromechanica,koeltechnieken,toegepaste fysica,toegepaste natuurwetenschappen,project STEM,Wetenschappen en techniek"
Constructie en productie,"Constructie is de manier waarop een groter geheel uit onderdelen samengesteld wordt. Bijvoorbeeld de assemblage van een auto, het bouwen van een woning, meubels, .... Productie is de manier waarop objecten vanuit hun grondstoffen vervaardigd worden. Bijvoorbeeld het maken van glas, karton, houten planken, ... Maar denk hierbij ook aan industriële assemblage. ","afwerking bouw,autotechnieken,bakkerij,autorijtechnieken,besturing bouwmachines,bouw,centrale verwarming,dakwerken,diamant,elektromechanica,elektronica,elektriciteit,glastechnieken,goud en juwelen,orthopedie,podiumtechnieken,printmedia,productie-industrie,restauratie,decoratieve technieken,ruwbouw,sanitair,scheepswerktuigkunde,schrijnwerkerij,steen- en marmerbewerking,steigerbouw,techniek,technologische opvoeding,hout,instrumentenbouw,koeltechnieken,koetswerk,kunststoffen,lassen-constructie,mechanica,mechanische vormgeving,meubelmakerij,uurwerkmaken,project STEM,Wetenschappen en techniek"
Land- en tuinbouw,"Van landbouw tot bosbeheer, van veeteelt tot tuinbouw","agrarische technieken,bosbouw,groendecoratie,hoefverzorging,landbouw,natuurbeheer,ecologie,Wetenschappen en techniek"
Digitale vaardigheden en informatica,"Digitale technologieën, programmeren, ...","informaticawetenschappen,beeld- en mediacultuur,printmedia,elektromechanica,elektronica,toegepaste informatica,verkoop,ICT,audiovisuele vorming"
Mediawijsheid,"Mediawijsheid, beeldgeletterdheid, kritische zin","communicatiewetenschappen,beeld- en mediacultuur,sociologie,informaticawetenschappen,Mens en maatschappij,ICT,maatschappelijke vorming"
Beeldende kunsten,"Schilderkunst, tekenkunst, film en fotografie, beeldhouwkunst, games, ... ","artistieke expressie,esthetica,plastische opvoeding,beeldende kunsten,beeldende vorming,fotografie,kunstbeschouwing,toegepaste beeldende vorming,vrije beeldende vorming,waarnemingstekenen,audiovisuele vorming,beeld- en mediacultuur,artistieke creatie,restauratie,Muzische vorming"
Podiumkunsten,"Dans, muziek, theater, ...","artistieke expressie,esthetica,muzikale opvoeding,algemene muziekleer,algemene verbale vorming,atelier drama,atelier woord,creatief musiceren,groepsmusiceren: folk- en wereldmuziek,groepsmusiceren: jazz-pop-rock,groepsmusiceren: klassiek,groepsmusiceren: musical,groepsmusiceren: opera/muziektheater,hedendaagse dans,""instrument: folk- en wereldmuziek (accordeon, contrabas, doedelzak, folkgitaar, folkviool, Keltische harp, mandoline, slagwerk)"",""instrument: jazz-pop-rock (accordeon, bugel, contrabas, cornet, dwarsfluit, gitaar, hoorn, keyboard, klarinet, piano, saxofoon, slagwerk, trombone, trompet, tuba, viool)"",""instrument: klassiek (althoorn, altviool, bariton, blokfluit, bugel, cello, contrabas, dwarsfluit, Engelse hoorn, fagot, gamba, gitaar, harp, hobo, hoorn, klarinet, klavecimbel, kornet, luit, orgel, piano, saxofoon, slagwerk, traverso, trombone, trompet, viool)"",klassieke dans,kunstbeschouwing,muziektheorie: folk-en wereldmuziek,muziektheorie: jazz-pop-rock,muziektheorie: klassiek,praktische harmonie: folk-en wereldmuziek,praktische harmonie: jazz-pop-rock,praktische harmonie: klassiek,zang: folk- en wereldmuziek,zang: jazz-pop-rock,zang: klassiek,zang: musical,zang: opera/muziektheater,artistieke creatie,podiumtechnieken,Muzische vorming"
Toegepaste kunsten,"Mode, sierkunsten, architectuur, design, grafische beeldvorming, ...","muzikale opvoeding,plastische opvoeding,architecturale vorming,architectuurtekenen,bouwkunst,kunstbeschouwing,binnenhuiskunst,artistieke creatie,decoratieve technieken,diamant,schilderen en decoratie,publiciteitstekenen,steen- en marmerbewerking,glastechnieken,goud en juwelen,grafische technieken,textielproductie,textielverzorging,mode"
,,
,,